document_id,class,text,producer,creator,filename,folder_name,pages,file_size,page_rot,page_size_x,page_size_y,word_count,copyright_symbol,images,entropy
c03e30bb9a19d5a24fcd1cc88f245171,1,0.5,0.5,0.5,0.5,0.5,6,820.11,False,806.4,564.48,0,False,1,1.9142161458
f1cace3f522a7d7072d46b443336b7f0,1,0.5,1,1,1,0.5,3,2778.287,True,515.76,728.4,0,False,1,4.9158666005
3d705ef7bee2de856e545e352a5325ec,1,0.5,0.5,1,0.5,0.5,11,10300.381,False,590,848,0,False,1,2.6416873978
189d4bc5378e11884eddeecec9304588,0,0,0.5,0,0.5,0,43,1539.135,False,720,540,616.7906976744,True,0,1.3345764599
b4825922d723e3e794ddd3036b635420,1,1,1,1,0.5,0.5,11,549.06,False,668,855,12737.6363636364,True,0,1.8130389245
170d3cbd8c0f867b342ac35b29d05ea0,0,0.5,0.5,0.5,0.5,0.5,9,340.053,False,595.2,841.92,711.1111111111,False,0,1.0808557044
01628a243b61ec0f067b62a8f7ac2f00,0,0.5,0.5,0.5,0.5,0.5,5,18.133,False,595.2,841.92,1262.8,False,0,0.3415276524
b93adf5f5c1bd31e26ca7306e8b91a3c,0,0.5,0.5,0.5,0.5,0.5,1,9.17,False,595.2,841.92,1620,False,0,0.3683101256
a719b36ae0cb229662c706f2482970da,1,0.5,1,0.5,0.5,0.5,55,6380.5,False,595,842,3629.5818181818,False,0,1.4295874223
c3df215cf3f4553e55c0ba02623ab9b8,1,0.5,1,1,0.5,0.5,17,6993.95,True,841.89,595.276,0,False,1,2.1188471626
294a8bcdf25bc118eb0eab928c12e3e3,1,0.5,0.5,0.5,0.5,0.5,15,1410.975,False,595,842,3367.9333333333,False,0,1.7423931404
eadf729092cb16cdae7b6ebc3f4ccf53,1,0.5,0,0.5,0.5,0.5,7,62.057,False,595,842,3747.5714285714,False,0,1.4906604273
7ba2141f2f1a4847a837f0062ceea223,1,0.5,1,1,0.5,0.5,12,4768.645,True,841.89,595.276,0,False,1,2.0354216312
5523dd9af6e1488fbad9e70b5c67f347,1,1,1,0.5,0.5,0.5,21,158.406,False,595,842,4240.0476190476,True,0,1.1312189809
ca2038acb6ebd6c86da5898ccf13778f,0,0,0.5,0.5,0.5,0.5,1,91.959,False,595.22,842,1738,False,0,1.4267720751
90d628bdf63f2be8b8f77f9e239584d9,0,0,0,0,0.5,0.5,1,333.067,False,595.2,841.92,3502,False,0,0.7405849385
5d6be3bb7bba44492be843522e809716,1,0.5,1,0.5,0.5,0.5,10,5200.864,False,591.12,840.6,0,False,1,3.4558300171
64831a89084fc89f1ce7614695057b66,0,0,0,0,0.5,0.5,2,126.257,False,595,842,3392,False,0,1.2978692973
47f0244bc812ef421f9ed8b9d93c852d,1,0,0.5,1,0.5,0.5,14,1983.074,False,595.276,782.362,10924.9285714286,True,0,2.6495920951
ebde783fb7dd6cf144e27f1a75338465,1,0.5,0,0.5,0.5,0.5,2,236.678,False,595,782,10984,True,0,2.925400787
09f181f5a9b38de7ed5cdd9fc100eb46,1,1,0,0.5,0.5,0.5,9,333.027,False,585,783,6848.8888888889,False,0,2.2097181616
e4543443b9592684c95c04c728f66e1a,1,1,0,1,0.5,0.5,6,974.645,False,612,792,5818.1666666667,True,0,2.8522207348
f7e70e7abe7c51bdb0cb6957b08fcb3b,1,1,0,1,0.5,0.5,7,1375.666,False,594,783,6996,True,0,2.523148233
377a105dd44c44dbc5d75c30509af9d1,1,1,0,0.5,0.5,0.5,10,470.202,False,584.957,782.986,8940,False,0,2.6389643687
1497f41d306047a67f84e1c4d767a614,1,1,0.5,0.5,0.5,0.5,3,158.213,False,612,792,11232.3333333333,False,0,2.3231772716
f03887fe117453566d55680a53cb4555,1,1,0,1,0.5,0.5,4,511.465,False,612,792,8021.25,True,0,2.807317774
19f511c4d1699d76bc64de245decff90,1,0.5,0,1,0.5,0.5,5,512.095,False,602.986,782.986,8000.6,True,0,1.9960422368
1c4987ea6a19d1840e55a5b6222d434c,1,1,1,1,0.5,0.5,10,1050.683,False,585,783,8127.1,True,0,2.3110832496
07a135fa0d07c49e0e6cd47810003dbc,1,1,0,1,0.5,0.5,8,853.676,False,594,783,23412.5,True,0,2.3325068081
91c51fbaa9a56f82c546d3c21f5fb578,1,1,0,1,0.5,0.5,8,365.971,False,593.972,782.986,7135.875,True,0,2.4090969697
c0e00035dc603ec9ae8a90a2ac2283b2,1,0.5,0,1,0.5,0.5,7,343.721,False,594,783,8323.1428571429,False,0,2.418379348
