ratio_words_box,page_rot,folder_name,filename,creator,producer,pages,word_count,avg_text_size,ration_text_pages,ratio_image_pages,page_size_x,file_size,text,copyright_symbol,avg_image_size,page_size_y,ratio_text_image,class,document_id
nan,False,0.5,0.5,0.5,0.5,6,0.0,nan,0.0,1.0,806.4,820.11,0.5,False,455196.6720000001,564.48,0.0,1.0,c03e30bb9a19d5a24fcd1cc88f245171
nan,True,0.5,1.0,1.0,1.0,3,0.0,nan,0.0,1.0,515.76,2778.287,0.5,False,626249.184,728.4,0.0,1.0,f1cace3f522a7d7072d46b443336b7f0
nan,False,0.5,0.5,1.0,0.5,11,0.0,nan,0.0,1.0,590.0,10300.381,0.5,False,498259.2727272727,848.0,0.0,1.0,3d705ef7bee2de856e545e352a5325ec
4.856,False,0.0,0.5,0.0,0.5,43,616.7906976744187,14027.054074932352,8.720930232558139,1.697674418604651,720.0,1539.135,0.0,True,34115.453609480275,540.0,5.136986301369863,0.0,189d4bc5378e11884eddeecec9304588
21.684587813620073,False,0.5,0.5,1.0,1.0,11,12737.636363636364,4793.367499231361,50.72727272727273,0.6363636363636364,668.0,549.06,1.0,True,12122.613172805712,855.0,79.71428571428571,1.0,b4825922d723e3e794ddd3036b635420
1.518796992481203,False,0.5,0.5,0.5,0.5,9,711.1111111111111,5074.069083563692,14.777777777777779,1.3333333333333333,595.2,340.053,0.5,False,35695.3875952071,841.92,11.083333333333334,0.0,170d3cbd8c0f867b342ac35b29d05ea0
2.0672268907563027,False,0.5,0.5,0.5,0.5,5,1262.8,9493.606313105745,23.8,0.0,595.2,18.133,0.5,False,nan,841.92,0,0.0,01628a243b61ec0f067b62a8f7ac2f00
2.9565217391304346,False,0.5,0.5,0.5,0.5,1,1620.0,12610.154715093695,23.0,0.0,595.2,9.17,0.5,False,nan,841.92,0,0.0,b93adf5f5c1bd31e26ca7306e8b91a3c
3.7708235294117647,False,0.5,0.5,0.5,1.0,55,3629.581818181818,1458.95982013051,115.9090909090909,1.0363636363636364,595.0,6380.5,0.5,True,320351.41052631574,842.0,111.84210526315789,1.0,a719b36ae0cb229662c706f2482970da
nan,True,0.5,0.5,1.0,1.0,17,0.0,nan,0.0,1.0,841.89,6993.95,0.5,False,501156.40441359085,595.276,0.0,1.0,c3df215cf3f4553e55c0ba02623ab9b8
3.773529411764706,False,0.5,0.5,0.5,0.5,15,3367.9333333333334,1166.5428464894117,113.33333333333333,1.0,595.0,1410.975,0.5,False,165843.16,842.0,113.33333333333333,1.0,294a8bcdf25bc118eb0eab928c12e3e3
94.32558139534883,False,0.5,0.5,0.5,0.0,7,3747.5714285714284,38594.33711298952,6.142857142857143,0.0,595.0,62.057,0.5,False,nan,842.0,0,1.0,eadf729092cb16cdae7b6ebc3f4ccf53
nan,True,0.5,0.5,1.0,1.0,12,0.0,nan,0.0,1.0,841.89,4768.645,0.5,False,501156.40441359096,595.276,0.0,1.0,7ba2141f2f1a4847a837f0062ceea223
42.0,False,0.5,0.5,0.5,1.0,21,4240.047619047619,15291.565242381266,11.142857142857142,0.09523809523809523,595.0,158.406,1.0,True,10115.725162275001,842.0,117.0,1.0,5523dd9af6e1488fbad9e70b5c67f347
2.4571428571428573,False,0.5,0.5,0.5,0.5,1,1738.0,1578.5958572725374,35.0,0.0,595.22,91.959,0.0,False,nan,842.0,0,0.0,ca2038acb6ebd6c86da5898ccf13778f
6.435897435897436,False,0.5,0.5,0.0,0.0,1,3502.0,5566.03655659487,39.0,0.0,595.2,333.067,0.0,False,nan,841.92,0,0.0,90d628bdf63f2be8b8f77f9e239584d9
nan,False,0.5,0.5,0.5,1.0,10,0.0,nan,0.0,1.0,591.12,5200.864,0.5,False,496016.1469580328,840.6,0.0,1.0,5d6be3bb7bba44492be843522e809716
9.970149253731343,False,0.5,0.5,0.0,0.0,2,3392.0,9218.922786960859,33.5,0.0,595.0,126.257,0.0,False,nan,842.0,0,0.0,64831a89084fc89f1ce7614695057b66
21.700416088765603,False,0.5,0.5,1.0,0.5,14,10924.92857142857,5103.402327027091,51.5,2.857142857142857,595.276,1983.074,0.0,True,1398.194227610857,782.362,18.025,1.0,47f0244bc812ef421f9ed8b9d93c852d
26.747252747252748,False,0.5,0.5,0.5,0.0,2,10984.0,6263.880556629251,45.5,1.0,595.0,236.678,0.5,True,30843.521379789992,782.0,45.5,1.0,ebde783fb7dd6cf144e27f1a75338465
74.55882352941177,False,0.5,0.5,0.5,0.0,9,6848.888888888889,18377.97798023469,11.333333333333334,0.4444444444444444,585.0,333.027,1.0,False,86232.81760137499,783.0,25.5,1.0,09f181f5a9b38de7ed5cdd9fc100eb46
38.68181818181818,False,0.5,0.5,1.0,0.0,6,5818.166666666667,10138.670533245155,22.0,3.0,612.0,974.645,1.0,True,29320.24296786222,792.0,7.333333333333333,1.0,e4543443b9592684c95c04c728f66e1a
50.152,False,0.5,0.5,1.0,0.0,7,6996.0,13783.7112551196,17.857142857142858,1.5714285714285714,594.0,1375.666,1.0,True,28188.234649178365,783.0,11.363636363636363,1.0,f7e70e7abe7c51bdb0cb6957b08fcb3b
18.036544850498338,False,0.5,0.5,0.5,0.0,10,8940.0,3935.695233504812,60.2,1.1,584.957,470.202,1.0,True,14182.942414312729,782.986,54.72727272727273,1.0,377a105dd44c44dbc5d75c30509af9d1
45.86206896551724,False,0.5,0.5,0.5,0.5,3,11232.333333333334,10063.30813129408,29.0,1.0,612.0,158.213,1.0,False,48519.74681633333,792.0,29.0,1.0,1497f41d306047a67f84e1c4d767a614
17.33783783783784,False,0.5,0.5,1.0,0.0,4,8021.25,4167.2263867646225,55.5,12.5,612.0,511.465,1.0,True,4006.0886222112003,792.0,4.44,1.0,f03887fe117453566d55680a53cb4555
