document_id,class,producer,creator,pages,file_size,page_rot,page_size_x,page_size_y,filename,folder_name,text,word_count,copyright_symbol,ratio_text_image,ration_text_pages,ratio_words_box,avg_text_size,ratio_image_pages,avg_image_size
9f8d056a77d5d34935221f6aa6cdc54b,0,0.0,0.0,5,3059.975,0,842.0,595.0,0.0,0.0,0.0,2711.6,0,2.5223880597014925,33.8,7.059171597633136,2876.0280194873785,13.4,2078.681926848741
a01d458f4d3e2915cd41f88a12ed5cbe,0,0.0,0.0,1,478.492,0,595.32,841.92,0.0,0.0,0.0,2613.0,0,0,38.0,6.973684210526316,3118.087443536834,0.0,nan
a090d124880945859b4a5b180868a5b1,1,1.0,1.0,12,18150.647,0,595.28,841.89,0.0,0.0,0.5,0.0,0,0.0,0.0,nan,nan,1.0,495587.32800000004
a0dc7f4bfd0dae7bbc694c27e27f236d,0,0.0,0.0,26,3651.033,0,960.0,540.0,0.0,0.0,0.5,496.9230769230769,0,4.384615384615385,4.384615384615385,10.25438596491228,39398.96486619732,1.0,518400.0
a0ee362f0ab6b807d139bab426fc5c42,0,0.0,0.5,2,84.377,0,595.0,842.0,0.0,0.0,1.0,2489.0,0,0,15.0,16.033333333333335,11025.496856075599,0.0,nan
a108bf5c3e99001b9f9772222711172d,0,0.0,0.0,1,28.559,0,595.28,841.89,0.0,0.0,0.5,1061.0,0,0,6.0,20.833333333333332,20191.50756064028,0.0,nan
a12936e0f5faa17bddf6a671476247ea,0,0.0,0.0,5,1228.094,0,720.0,540.0,0.0,0.0,0.5,578.6,0,0.34782608695652173,3.2,9.9375,23084.450708231932,9.2,111289.97704931562
a12b05a1694bb3c0d33a73cecf5204a6,1,1.0,1.0,4,2040.394,1,841.68,595.2,0.0,0.0,0.5,0.0,0,0.0,0.0,nan,nan,1.0,500967.936
a15632bbb3ef412884312066c697bced,0,0.0,0.0,1,7.074,0,841.92,595.32,0.0,0.0,0.0,1583.0,0,0,18.0,0.8888888888888888,1437.9631448901332,0.0,nan
a17adaca9ab1a558d9ce625459dfa6df,0,0.0,0.0,1,1238.995,0,2381.4,3345.24,0.0,0.0,0.0,14580.0,1,2.56,64.0,17.765625,35140.18821261022,25.0,137234.048256
a1be184f67f52bb86a8f680e94786e2e,0,0.0,0.0,17,340.824,0,595.32,841.92,0.0,0.0,0.0,2192.5882352941176,0,482.0,28.352941176470587,7.3112033195020745,3430.0158168025546,0.058823529411764705,10558.267999999995
a1dcfd4a0e2052c274359762651765f0,0,0.0,1.0,8,176.049,0,595.276,841.89,0.0,0.0,0.5,2118.0,0,13.875,13.875,19.54054054054054,15071.717658683045,1.0,3682.713599999994
a2254b1dea4ca6a205505ccef82040fa,0,0.0,0.0,2,197.283,0,612.0,792.0,0.0,0.0,0.0,1620.0,0,0,28.0,4.607142857142857,2508.1653428142818,0.0,nan
a24a93dbe234de598c435408ec27b845,0,0.0,0.0,1,178.945,0,841.92,595.32,0.0,0.0,0.5,5181.0,0,0,2.0,244.0,144837.79542208722,0.0,nan
a2eed816189b17c930219c6d4903ec32,0,0.0,0.0,19,1483.316,0,595.32,841.92,0.0,0.0,0.5,1645.1052631578948,0,65.0,23.94736842105263,5.916483516483517,2793.794197209865,0.3684210526315789,116036.97315714284
a2f2aa64f882f87b6ca7faea7637c998,0,0.0,0.0,4,101.025,0,595.0,842.0,0.0,0.0,0.5,1786.25,0,10.5,5.25,40.523809523809526,29419.383392380965,0.5,130402.14000000001
