"document_id","user_id","value"
"c03e30bb9a19d5a24fcd1cc88f245171","f7b13185f3bfd4abe7a618c7dfca824f","9"
"f1cace3f522a7d7072d46b443336b7f0","a8784a3df447942aba30f827c8aac912","8"
"3d705ef7bee2de856e545e352a5325ec","a768bd7f9e9586f743b903aa623ea8bc","1"
"189d4bc5378e11884eddeecec9304588","67fd5e1089059a5adb2a96282237f076","5"
"b4825922d723e3e794ddd3036b635420","d0b0204ffbd6de18d825f0ccc247c706","2"
"170d3cbd8c0f867b342ac35b29d05ea0","778ed1e6fdc467832d0e9abedec81440","8"
"01628a243b61ec0f067b62a8f7ac2f00","778ed1e6fdc467832d0e9abedec81440","8"
"b93adf5f5c1bd31e26ca7306e8b91a3c","778ed1e6fdc467832d0e9abedec81440","8"
"a719b36ae0cb229662c706f2482970da","f7b13185f3bfd4abe7a618c7dfca824f","9"
"c3df215cf3f4553e55c0ba02623ab9b8","9f55b35dbc059dfcfc8af9eaaf51f27c","4"
"294a8bcdf25bc118eb0eab928c12e3e3","9f55b35dbc059dfcfc8af9eaaf51f27c","4"
"eadf729092cb16cdae7b6ebc3f4ccf53","9f55b35dbc059dfcfc8af9eaaf51f27c","4"
"7ba2141f2f1a4847a837f0062ceea223","9f55b35dbc059dfcfc8af9eaaf51f27c","4"
"5523dd9af6e1488fbad9e70b5c67f347","f7b13185f3bfd4abe7a618c7dfca824f","9"
"ca2038acb6ebd6c86da5898ccf13778f","4e5be8fcfd14db47272c5d436d63c5e8","13"
"90d628bdf63f2be8b8f77f9e239584d9","4e5be8fcfd14db47272c5d436d63c5e8","13"
"5d6be3bb7bba44492be843522e809716","a04920a3c18124a190b697957627d14c","3"
"64831a89084fc89f1ce7614695057b66","a04920a3c18124a190b697957627d14c","3"
"47f0244bc812ef421f9ed8b9d93c852d","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"ebde783fb7dd6cf144e27f1a75338465","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"09f181f5a9b38de7ed5cdd9fc100eb46","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"e4543443b9592684c95c04c728f66e1a","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"f7e70e7abe7c51bdb0cb6957b08fcb3b","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"377a105dd44c44dbc5d75c30509af9d1","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"1497f41d306047a67f84e1c4d767a614","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"f03887fe117453566d55680a53cb4555","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"19f511c4d1699d76bc64de245decff90","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"1c4987ea6a19d1840e55a5b6222d434c","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"07a135fa0d07c49e0e6cd47810003dbc","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"91c51fbaa9a56f82c546d3c21f5fb578","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"c0e00035dc603ec9ae8a90a2ac2283b2","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"704a10d5f79155bd314334189950e4f8","1a5efd310e6ab9da81e6aeec55e79a3d","17"
"ec1b4a4ee9f6359c6c2c003b796d191e","b50bde140176df5a5e95fb316ffc89d6","3"
"dabac6f90165248f2e7968aab139bc5a","79c1091443a3ebb548bbbbb4fc307ed4","17"
"d52c3bf565927c825d3df28f02732d0f","070b2d1c8da8ee65c88bd7a4f64cfd08","2"
"ccf6adb644db4659841674c3c44317e2","2944e90bc20cbc327a7a6c69067c8b64","2"
"800b804a4d5982f647d41dd35f34724e","2944e90bc20cbc327a7a6c69067c8b64","2"
"993070b24b93d19305abb85e07f4921c","b9e448d25028202397f53ccf59fd92dc","3"
"ee80f0e0afa1b166d9237260f9add15b","4f5c51c5ffb15d6efbc6254ec7a3bc77","22"
"5a6c450590a545ddc90de333ea4ad5f9","b2e992e1025e0fb66ee9f93f51a5e3e3","15"
"6fd5b1d2b8346f32dbad9a7a9fc0190a","6c936302fc7f0ce83051848b43c13a6c","2"
"c2af7f0ced809aab4d5000ac89b8409e","5d6c8924fd104df300e6ebc62841acc6","3"
"b7fd217a80003749fb99bc0aff70d1b1","b2e992e1025e0fb66ee9f93f51a5e3e3","15"
"533942671f0909ea7bf8cf406545f95a","ba82a6950f6c825ae3a398d4258c81ef","9"
