ratio_words_tb,page_rot,folder_name,filename,creator,producer,pages,word_count,avg_tb_size,ratio_tb_pages,ratio_ib_pages,page_size_x,file_size,text,copyright_symbol,avg_ib_size,page_size_y,ratio_tb_ib
15.5456471124357,0.091300338149401,0.437596065170612,0.421610820780818,0.292960344297571,0.23224715647095,14.6759913925607,3535.89192025391,14150.0892960171,19.3599398303101,8.43775626623991,635.486833077161,1534.570438672,0.351675376575469,0.132493083307716,107155.542752157,755.696231478626,36.2357765454361
0,0,0,0,0,0,1,0,0,0,0,145.44,4.897,0,0,0.454004494382031,206,0
482,1,1,1,1,1,2064,2044663.07692308,4539139.35047732,5931.63636363636,10680,3840,44448.041,1,1,8294400,3370.32,14583.5
